GreekCouncil,GreekOrganization,City,State,Country,School,PublicPrivateSchool,DomesticIntSchool,Boarding,Religion,Gender,Tuition,FreeLunchPercent,AthleteClassification,SportsTeam,Scholarship,TypeScholarship,Latitude,Longitude,Affiliation,SLG
None,None,Aurora,Illinois,United States,Metea Valley High School,public,Domestic,Day,Unafilliated,Co-Ed,0,0.24518006,Non-Athlete,None,No,None,41.760585,-88.320071,Neither,None
Fraternity,Delta Tau Delta,Austin,Texas,United States,Saint Stephens Episcopal School,private,Domestic,Day,Episcopal,Co-Ed,25990,NA,Non-Athlete,None,No,None,30.271129,-97.743699,IFC,None
None,None,Austin,Texas,United States,Kipp Austin Collegiate,public,Domestic,Day,Unafilliated,Co-Ed,0,0.92756183,Non-Athlete,None,No,None,30.271129,-97.743699,Neither,None
None,None,Austin,Texas,United States,Westwood High School,public,Domestic,Day,Unafilliated,Co-Ed,0,0.12010252,Non-Athlete,None,No,None,30.271129,-97.743699,Neither,None
None,None,Austin,Texas,United States,Westlake High School,public,Domestic,Day,Unafilliated,Co-Ed,0,0.02794175,Non-Athlete,None,No,None,30.271129,-97.743699,Neither,None
Sorority,Kappa Alpha Theta,Austin,Texas,United States,A N McCallum High School,public,Domestic,Day,Unafilliated,Co-Ed,0,0.318,Non-Athlete,None,No,None,30.271129,-97.743699,Panhel,None
Sorority,Zeta Tau Alpha,Austin,Texas,United States,L C Anderson High School,public,Domestic,Day,Unafilliated,Co-Ed,0,0.26708633,Non-Athlete,None,No,None,30.271129,-97.743699,Panhel,None
Sorority,Gamma Phi Beta,Austin,Texas,United States,Westlake High School,public,Domestic,Day,Unafilliated,Co-Ed,0,0.02794175,Non-Athlete,None,No,None,30.271129,-97.743699,Panhel,None
None,None,Aventura,Florida,United States,Miami Country Day School,private,Domestic,Day,Unafilliated,Co-Ed,33200,NA,Non-Athlete,None,No,None,25.953257,-80.136646,SLG,Round Table
None,None,Avon,Connecticut,United States,Avon High School,public,Domestic,Day,Unafilliated,Co-Ed,0,0.0618,Non-Athlete,None,Yes,AB,41.809821,-72.830654,Neither,None
Fraternity,Pi Kappa Phi,Bainbridge Island,Washington,United States,Bainbridge High School,public,Domestic,Day,Unafilliated,Co-Ed,0,0.075,Athlete,Men's Lacrosse,No,None,47.65526,-122.535086,IFC,None
Fraternity,Delta Sigma Phi,Bainbridge Island,Washington,United States,Lakeside School,private,Domestic,Day,Unafilliated,Co-Ed,32000,NA,Non-Athlete,None,No,None,47.65526,-122.535086,IFC,None
None,None,Baku,NA,Azerbaijan,School No 162,NA,International,Day,Unafilliated,Co-Ed,NA,NA,Non-Athlete,None,No,None,40.392514,49.846679,Neither,None
None,None,Baldwin,New York,United States,Baldwin Senior High School,public,Domestic,Day,Unafilliated,Co-Ed,0,0.1694,Non-Athlete,None,No,None,40.656491,-73.609295,Neither,None
None,None,Ballyconnell,NA,Ireland,Loreto College Cavan,public,International,Day,Catholic,All-Girls,0,NA,Athlete,Women's Golf,No,None,54.116667,-7.583333,Neither,None
Fraternity,Pi Kappa Alpha,Baltimore,Maryland,United States,Gilman School,private,Domestic,Day,Unafilliated,All-Boys,29690,NA,Non-Athlete,None,No,None,39.290861,-76.610807,IFC,None
None,None,Baltimore,Maryland,United States,Baltimore City College,public,Domestic,Day,Unafilliated,Co-Ed,0,0.6003,Non-Athlete,None,No,None,39.290861,-76.610807,Neither,None
None,None,Bangalore,NA,India,International School Bangalore,private,International,Day,Unafilliated,Co-Ed,9462,NA,Non-Athlete,None,No,None,12.97912,77.5913,Neither,None
None,None,Bangalore,NA,India,Mallya Aditi International School,private,International,Day,Unafilliated,Co-Ed,5128.5,NA,Non-Athlete,None,No,None,12.97912,77.5913,Neither,None
None,None,Bangalore,NA,India,Canadian International School,private,International,Day,Unafilliated,Co-Ed,16705.6,NA,Non-Athlete,None,No,None,12.97912,77.5913,Neither,None
None,None,Bangkok,NA,Thailand,Institut le Rosey,private,International,Boarding,Unafilliated,Co-Ed,118660.78,NA,Non-Athlete,None,No,None,13.585922,100.416087,Neither,None
None,None,Barrington,Illinois,United States,Barrington Community High School,public,Domestic,Day,Unafilliated,Co-Ed,0,0.2113,Non-Athlete,None,No,None,42.153914,-88.136189,Neither,None
Sorority,Zeta Tau Alpha,Barrington,Illinois,United States,Illinois Math & Science Academy,public,Domestic,Day,Unafilliated,Co-Ed,0,0,Non-Athlete,None,No,None,42.153914,-88.136189,Panhel,None
Fraternity,Kappa Alpha Order,Basking Ridge,New Jersey,United States,Ridge High School,public,Domestic,Day,Unafilliated,Co-Ed,0,0.02263157,Athlete,Men's Fencing,No,None,40.706409,-74.549272,IFC,None
None,None,Basking Ridge,New Jersey,United States,Ridge High School,public,Domestic,Day,Unafilliated,Co-Ed,0,0.02263157,Non-Athlete,None,No,None,40.706409,-74.549272,Neither,None
None,None,Battle,NA,United Kingdom,Budhanilkantha School,public,International,Day,Unafilliated,Co-Ed,0,NA,Non-Athlete,None,Yes,University,50.917771,0.483654,SLG,Alpha Phi Omega
None,None,Battle,NA,United Kingdom,Townsend High School,public,International,Day,Unafilliated,Co-Ed,0,NA,Non-Athlete,None,No,None,50.917771,0.483654,Neither,None
Sorority,Kappa Alpha Theta,Bay Harbor Islands,Florida,United States,Miami Country Day School,private,Domestic,Day,Unafilliated,Co-Ed,33200,NA,Non-Athlete,None,No,None,25.887595,-80.131156,Panhel,None
None,None,Bay Shore,New York,United States,Bay Shore High School,public,Domestic,Day,Unafilliated,Co-Ed,0,0.4708,Athlete,Women's Lacrosse,No,None,40.725099,-73.245395,Neither,None
None,None,Bayonne,New Jersey,United States,Bayonne High School,public,Domestic,Day,Unafilliated,Co-Ed,0,0.6695,Non-Athlete,None,No,None,40.668714,-74.114309,SLG,Nexus
None,None,Bear,Delaware,United States,William Penn High School,public,Domestic,Day,Unafilliated,Co-Ed,0,0.32443626,Non-Athlete,None,No,None,39.629279,-75.658263,Neither,None
None,None,Bear Creek,North Carolina,United States,Chatham Central High School,public,Domestic,Day,Unafilliated,Co-Ed,0,0.35643564,Non-Athlete,None,No,None,34.657556,-77.253685,Neither,None
None,None,Beaumont,Texas,United States,Monsignor Kelly Catholic High,private,Domestic,Day,Catholic,Co-Ed,11475,NA,Non-Athlete,None,No,None,30.086046,-94.101846,Neither,None
None,None,Bee Cave,Texas,United States,Lake Travis High School,public,Domestic,Day,Unafilliated,Co-Ed,0,0.09957048,Non-Athlete,None,No,None,30.308537,-97.94501,Neither,None
None,None,Beijing,NA,China,Beijing No 4 School,public,International,Day,Unafilliated,Co-Ed,NA,NA,Non-Athlete,None,No,None,39.905963,116.391248,SLG,Arts Theme House
None,None,Beijing,NA,China,High School at Renmin University of China,public,International,NA,Unafilliated,Co-Ed,9187.8,NA,Non-Athlete,None,No,None,39.905963,116.391248,Neither,None
None,None,Beijing,NA,China,Affiliated High School Peking University,public,International,Day,Unafilliated,Co-Ed,0,NA,Non-Athlete,None,No,None,39.905963,116.391248,Neither,None
None,None,Beijing,NA,China,Experimental Beijing Normal University,public,International,NA,Unafilliated,NA,NA,NA,Non-Athlete,None,No,None,39.905963,116.391248,Neither,None
None,None,Beijing,NA,China,Beijing Jianhua Experimental School,private,International,NA,Unafilliated,Co-Ed,NA,NA,Non-Athlete,None,No,None,39.905963,116.391248,Neither,None
None,None,Beijing,NA,China,Beijing No 4 School,public,International,Day,Unafilliated,Co-Ed,NA,NA,Non-Athlete,None,No,None,39.905963,116.391248,Neither,None
None,None,Beijing,NA,China,Beijing No 4 School,public,International,Day,Unafilliated,Co-Ed,NA,NA,Non-Athlete,None,No,None,39.905963,116.391248,Neither,None
None,None,Beijing,NA,China,Beijing No 4 School,public,International,Day,Unafilliated,Co-Ed,NA,NA,Non-Athlete,None,No,None,39.905963,116.391248,Neither,None
None,None,Beijing,NA,China,Beijing No 4 School,public,International,Day,Unafilliated,Co-Ed,NA,NA,Non-Athlete,None,No,None,39.905963,116.391248,Neither,None
None,None,Beijing,NA,China,Second High School attached to BNU,public,International,Day,Unafilliated,Co-Ed,NA,NA,Non-Athlete,None,No,None,39.905963,116.391248,Neither,None
None,None,Beijing,NA,China,High School at Renmin University of China,public,International,NA,Unafilliated,Co-Ed,9187.8,NA,Non-Athlete,None,No,None,39.905963,116.391248,Neither,None
None,None,Beijing,NA,China,Harrow International School of Beijing,private,International,Day,Unafilliated,Co-Ed,32220,NA,Non-Athlete,None,No,None,39.905963,116.391248,Neither,None
None,None,Beijing,NA,China,Peddie School,private,Domestic,Boarding,Unafilliated,Co-Ed,56100,NA,Non-Athlete,None,No,None,39.905963,116.391248,Neither,None
